"planeamiento_urbano;db_villa_maria_catalogo;catalogo;sig_uso_suelo_periurbano;;uso_suelo_periurbano;Uso de suelo periurbano;orden:402,suelo,periurbano;;4326;gid;;;gid,geom, zona, uso, nombre, caracteris;Descripción de los usos del suelo relevados en el Área Periurbana de la ciudad de Villa María.;uso_suelo_periurbano;"
"desarrollo_social_salud;db_villa_maria_catalogo;catalogo;sig_instituciones_desarrollo_social;;instituciones_desarrollo_social;Instituciones desarrollo social;orden:500,instituciones,centros,hogares;;4326;gid;;;gid,geom, nombre;Instituciones que trabajan en el área de Desarrollo Social de la Municipalidad de Villa María.;instituciones_desarrollo_social;instituciones_desarrollo_social.svg"
"desarrollo_social_salud;db_villa_maria_catalogo;catalogo;sig_centros_salud;;centros_salud;Centros de salud;orden:501,salud,medicina,hospitales;;4326;gid;;;gid,geom, nombre, direccion, telefono, dependencia;Instituciones públicas y privadas que prestan el servicio de atención de la salud.;edificio_salud_visor;edificio_salud_visor.svg"
"desarrollo_social_salud;db_villa_maria_catalogo;catalogo;sig_sedes_centros_vecinales;;sedes_centros_vecinales;Centros vecinales;orden:502,centro,vecinal,comunitario;;4326;gid;;;gid,geom, nombre;Sedes de los Centros Vecinales de la ciudad de Villa María;centros_comunitarios;centros_comunitarios.svg"
"desarrollo_social_salud;db_villa_maria_catalogo;catalogo;sig_municercas_sedes;;municercas_sedes;Municercas (sedes);orden:503,municercas,municipalidad;;4326;gid;;;gid,geom, nombre;Sedes de los Municercas (oficinas decentralizadas de la Municipalidad);delegacion_municipal;delegacion_municipal.svg"
"desarrollo_social_salud;db_villa_maria_catalogo;catalogo;sig_municercas_areas_cobertura;;municercas_areas_cobertura;Municercas;orden:504,municercas,municipalidad;;4326;gid;;;gid,geom, nombre, direccion, telefono;Area geográfica de cobertura de cada Municerca.;municerca_area_cobertura;"
"desarrollo_social_salud;db_villa_maria_catalogo;catalogo;sig_barrios;;barrios;Barrios;orden:505,barrios, barrio;;4326;gid;;;gid,geom, nombre;Barrios de la ciudad de Villa María.;barrios;"
"educacion_cultura;db_villa_maria_catalogo;catalogo;sig_establecimientos_educativos ;;establecimientos_educativos;Escuelas;orden:600,educacion,escuela, colegio;;4326;gid;;;gid,geom, establecim, dependenci, calle, nro, modalidad, oferta;Establecimientos educativos modalidad inicial, especial, primaria, secundaria y terciaria no universitaria;edificio_educativo_visor;edificio_educativo_visor.svg"
"educacion_cultura;db_villa_maria_catalogo;catalogo;sig_instituciones_universitarias;;instituciones_universitarias;Universidades;orden:601,universidad,educacion,facultad;;4326;gid;;;gid,geom, establecim, calle, nro, modalidad, link;Establecimientos universitarios;universidad_visor;universidad_visor.svg"
"educacion_cultura;db_villa_maria_catalogo;catalogo;sig_centros_culturales;;centros_culturales;Centros culturales;orden:602,cultura,museo,galeria;;4326;gid;;;gid,geom, nombre, dependencia;Centros culturales de la Municipalidad de Villa María;edificio_cultura_visor;edificio_cultura_visor.svg"
"deporte_recreacion_esparcimiento;db_villa_maria_catalogo;catalogo;sig_deporte_recreacion;;deporte_recreacion;Deporte y recreación;orden:700,deporte,polideportivo,club;;4326;gid;;;gid,geom, nombre, dependencia;Centros deportivos, recreativos y de esparcimiento.;actividad_deportiva;actividad_deportiva.svg"
"gestion_residuos;db_villa_maria_catalogo;catalogo;sig_tratamiento_residuos;;tratamiento_residuos;Tratamiento de residuos;orden:800,servicios,residuos,basura;;4326;gid;;;gid,geom, nombre;Instalaciones donde se realiza algún tipo de clasificación o tratamiento a los residuos. Incluye plantas de residuos patológicos plantas recicladoras, entre otros.;plantas_tratamiento_residuos;plantas_tratamiento_residuos.svg"
"equipamiento;db_villa_maria_catalogo;catalogo;sig_cementerios;;cementerios;Cementerios;orden:900,cementerios,sepultura,nicho;;4326;gid;;;gid,geom, nombre;Espacio público o privado reservado para dar sepultura. Incluye cementerio parque, entre otros.;cementerio;cementerio.svg"
"equipamiento;db_villa_maria_catalogo;catalogo;sig_areas_cementerios;;areas_cementerios;Área de cementerios;orden:901,cementerios,sepultura,nicho;;4326;gid;;;gid,geom, objeto;Espacio público o privado reservado para dar sepultura. Incluye cementerio parque, entre otros.;areas_cementerios;"
"equipamiento;db_villa_maria_catalogo;catalogo;sig_espacios_verdes;;espacios_verdes;Espacios verdes;orden:902,plaza,parque,plazoleta;;4326;gid;;;gid,geom, nombre;Espacios verdes, plazas, parques naturales.;espacios_verdes;"
